time_bin,1,2,3,4,5,6,7
0.0,166.96939112627166,194.58851297083496,178.64906309181,186.10706296452202,171.29170144172315,213.26064795803183,264.10249405447786
60.0,238.46567613548686,223.22793510511272,188.86197018523328,147.4274652531077,148.35661184534194,175.57786701065478,199.03376760834553
120.0,201.16169824304404,183.44966780364322,202.57460148743397,202.13281655048874,197.19500670337897,178.3131541962926,161.929385821403
180.0,215.71902766582062,246.62758709891946,202.45354501644078,180.8756087477073,207.1166099799294,205.49792323774577,151.12309046627507
240.0,239.40635727023448,241.33006542151688,257.8431429349807,173.2651035178091,202.6367969602204,197.5212272399552,164.5690708027129
300.0,201.87328884923227,258.7380867451439,259.82425676394007,219.57882364802504,189.21098942065535,281.5052000465703,252.78478377065554
360.0,158.11675957184542,181.81871104442823,221.42677003969013,192.27358372596893,251.5575465566729,291.75871395942914,324.3372423631481
420.0,201.66825049355526,203.54125312797188,164.10004020375487,165.9860984446433,200.31452784882188,248.83471467281612,270.3716892382451
480.0,162.1451649701146,213.00278190576333,264.97474667035453,155.28657212243954,162.82665805133004,190.41563002617747,241.96201694316466
540.0,166.0527344013262,176.1510252021931,172.0348835194755,183.69245888149365,179.13824633022512,198.48408947887287,167.91821983480708
600.0,151.01300335849376,167.51067031614335,198.22752832495948,168.85032380376606,190.95628942180434,207.37740574282864,261.11621208228144
660.0,200.5826996221523,192.74946662825553,188.5427889811018,197.93104023454788,207.0065995701736,193.10505122323517,201.88797948257255
720.0,218.7705186223453,198.47505360810334,210.85073157363908,180.9111835109231,179.30321686292217,208.67642464621545,170.01343743988795
780.0,192.87596346767236,226.54767695673155,185.4063720490886,161.7251924944722,182.5187289842197,182.0264706474849,171.18480255931124
840.0,128.3870187851736,173.90706048961908,191.09612778195316,197.78916017574832,197.7859218583304,177.85476012255754,155.72610798990806
900.0,173.31322770944422,168.05421314195988,154.40438220887245,138.7872902387936,150.26662499278189,195.38158700444387,241.6487593954097
960.0,198.6048029229889,211.10593103621432,162.28413520384285,145.09578044589824,121.8211223148371,134.05963873508384,190.70210014191687
1020.0,202.4402682849146,228.51400707346886,242.0618113979207,180.6034034750191,128.99440911285566,115.47777111948236,131.01190102067554
1080.0,217.214071864454,239.36356410407396,181.29040669487384,176.10571892264616,185.15724263958805,163.61294134697204,126.7884372735426
1140.0,230.2400050804143,247.46030556607806,236.44885230434622,183.08884736453564,198.88513270449167,221.0385697185653,166.71427931382837
1200.0,178.51143421627594,247.98096750583684,244.79114501605875,202.98498275064912,188.42776730468347,179.64254679159447,195.9485624036764
1260.0,158.04430215949404,175.97750887466233,249.36903883063718,198.94905855257701,166.729323729877,191.40919822209278,224.62234719325335
1320.0,162.57926900991674,149.68612120566505,175.71064352462403,184.61567618060087,208.64200448745137,238.8101302359952,203.88413161609174
1380.0,187.29162660348226,205.9816150541343,185.7585296112385,180.46135003936558,216.14511492814515,219.66330472255015,215.56465357659428
1440.0,170.442904208068,218.9827731341559,212.7876821292518,173.99881449754392,214.8531463015963,237.52664035330886,221.4054281103168
1500.0,239.57524053287443,220.22054364602235,195.8283940590667,228.50300710616136,227.48229521121414,216.27092719504594,191.06535363054434
1560.0,237.19915564424545,263.65411324194014,233.48851751195943,221.05842171946543,211.66523690657388,207.1483317023338,184.68037353216639
1620.0,259.57214658272954,249.83140356965103,288.35010746877856,167.4182382143381,195.69732395751404,248.20788318738894,259.21893409648175
