time_bin,1,2,3,4,5,6,7
0.0,503.0,560.0,556.0,461.0,422.0,521.0,478.0
300.0,587.0,593.0,556.0,417.0,366.0,479.0,441.0
600.0,607.0,649.0,639.0,490.0,492.0,562.0,537.0
900.0,525.0,588.0,547.0,464.0,428.0,513.0,492.0
1200.0,590.0,615.0,588.0,458.0,427.0,504.0,485.0
1500.0,520.0,593.0,543.0,452.0,431.0,507.0,491.0
1800.0,531.0,553.0,521.0,408.0,380.0,454.0,431.0
2100.0,460.0,533.0,522.0,401.0,383.0,475.0,425.0
2400.0,540.0,560.0,539.0,403.0,358.0,435.0,399.0
2700.0,489.0,541.0,501.0,391.0,371.0,497.0,466.0
3000.0,479.0,535.0,520.0,428.0,384.0,486.0,420.0
3300.0,596.0,627.0,578.0,452.0,419.0,492.0,441.0
average,535.5833333333334,578.9166666666666,550.8333333333334,435.4166666666667,405.0833333333333,493.75,458.8333333333333
