time_bin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,46,47,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1575.0,1542.0,1647.0,1735.0,1682.0,1312.0,1229.0,1507.0,1416.0,1461.0,1427.0,1496.0,1461.0,1481.0,1499.0,1294.0,1233.0,1362.0,1366.0,1472.0,1471.0,1444.0,1497.0,1486.0,1563.0,1461.0,1232.0,1158.0,1247.0,674.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1495.0,1487.0,1579.0,1722.0,1603.0,1311.0,1236.0,1484.0,1422.0,1462.0,1450.0,1528.0,1492.0,1570.0,1600.0,1382.0,1338.0,1458.0,1467.0,1569.0,1541.0,1537.0,1505.0,1500.0,1525.0,1414.0,1136.0,1065.0,1228.0,674.0,0.0,0.0,0.0,0.0,0.0
1800.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1426.0,1410.0,1467.0,1586.0,1495.0,1157.0,1071.0,1307.0,1201.0,1225.0,1219.0,1294.0,1284.0,1376.0,1362.0,1215.0,1170.0,1344.0,1316.0,1461.0,1511.0,1427.0,1374.0,1390.0,1487.0,1374.0,1096.0,1066.0,1199.0,672.0,0.0,0.0,0.0,0.0,0.0
2700.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1469.0,1447.0,1518.0,1638.0,1532.0,1219.0,1117.0,1401.0,1281.0,1313.0,1301.0,1351.0,1350.0,1410.0,1358.0,1158.0,1099.0,1283.0,1212.0,1311.0,1340.0,1309.0,1230.0,1284.0,1378.0,1227.0,955.0,936.0,1068.0,609.0,0.0,0.0,0.0,0.0,0.0
